Kinase,Z,method,AvgZ
PKG,3.01,710429405>0.15,2.7358333333333333
CAMK1,3,710429405>0.15,2.3158333333333334
PKA,2.87,710429405>0.15,2.66
RAD53,2.87,710429405>0.15,2.7975
ERK,-2.78,710429405>0.15,-2.675
DMPK,2.75,710429405>0.15,2.319166666666667
PDK1,-2.69,710429405>0.15,-1.805
AMPK,2.65,710429405>0.15,2.2525
DYRK,-2.48,710429405>0.15,-2.7683333333333335
NMO,-2.37,710429405>0.15,-2.1158333333333332
JNK,-2.35,710429405>0.15,-2.7925
PKCA,2.2,710429405>0.15,1.695
RSK,2.2,710429405>0.15,2.3233333333333333
PKCD,2.05,710429405>0.15,1.305
PIM,1.94,710429405>0.15,2.1758333333333333
PKCH,1.68,710429405>0.15,0.36333333333333334
PLK,-1.65,710429405>0.15,-1.9608333333333332
PKN,1.65,710429405>0.15,-0.165
HAL,1.64,710429405>0.15,1.1341666666666665
STKR,1.63,710429405>0.15,0.2125
PAKA,1.61,710429405>0.15,1.6483333333333334
RIPK,1.48,710429405>0.15,1.2566666666666666
AUR,1.47,710429405>0.15,0.64
P38,-1.45,710429405>0.15,-1.6933333333333334
MSN,1.43,710429405>0.15,1.1066666666666667
CDK,-1.32,710429405>0.15,-1.5141666666666667
SGK,1.29,710429405>0.15,0.6599999999999999
MELK,1.27,710429405>0.15,0.44750000000000006
TTK,-1.26,710429405>0.15,-0.5533333333333333
PDHK,1.23,710429405>0.15,1.6541666666666666
TAO,1.22,710429405>0.15,0.735
NUAK,-1.21,710429405>0.15,-0.54
MLK,1.2,710429405>0.15,0.7833333333333333
BRSK,1.19,710429405>0.15,1.1275
TLK,-1.17,710429405>0.15,-1.1391666666666667
IKK,1.16,710429405>0.15,0.8708333333333333
GRK,1.09,710429405>0.15,0.6900000000000001
LKB,-1.04,710429405>0.15,-0.8358333333333333
RAF,-1.02,710429405>0.15,-0.42833333333333334
NEK,0.99,710429405>0.15,0.44083333333333335
CK1,0.97,710429405>0.15,-0.2633333333333333
PKD,0.96,710429405>0.15,1.7075
CLK,-0.87,710429405>0.15,-0.8041666666666667
BARK2,0.87,710429405>0.15,-0.3258333333333333
BUD32,-0.87,710429405>0.15,0.04333333333333333
CAMKK,-0.87,710429405>0.15,-0.7975
MOS,-0.85,710429405>0.15,-0.8041666666666667
PASK,-0.84,710429405>0.15,-0.8091666666666667
KHS,-0.84,710429405>0.15,-0.1391666666666667
WNK,-0.84,710429405>0.15,-0.13083333333333336
STE11,-0.84,710429405>0.15,-0.7541666666666667
ULK,-0.84,710429405>0.15,-0.79
SLK,-0.83,710429405>0.15,-0.8025
MLCK,0.83,710429405>0.15,-0.10499999999999998
NIK,-0.81,710429405>0.15,-0.8033333333333333
VRK1,0.81,710429405>0.15,0.3441666666666666
COT,0.78,710429405>0.15,0.3116666666666667
MTOR,-0.77,710429405>0.15,-0.5916666666666667
ATM,-0.74,710429405>0.15,-0.12083333333333333
MST,-0.71,710429405>0.15,-1.0958333333333334
FRAY,0.69,710429405>0.15,0.625
PRKDC,-0.64,710429405>0.15,-0.36
IRAK,-0.6,710429405>0.15,-0.5841666666666667
QIK,0.58,710429405>0.15,-0.15333333333333332
PEK,-0.46,710429405>0.15,-0.5616666666666666
STE7,0.45,710429405>0.15,-0.39583333333333337
AKT,-0.43,710429405>0.15,-0.1391666666666667
MAPKAPK,0.43,710429405>0.15,1.0766666666666667
GSK,-0.42,710429405>0.15,-0.35999999999999993
CK2,0.41,710429405>0.15,-0.2658333333333333
CAMK2,0.41,710429405>0.15,0.3258333333333333
MARK,0.39,710429405>0.15,0.9816666666666667
ATR,-0.31,710429405>0.15,0.1991666666666667
CHK1,0.28,710429405>0.15,0.9266666666666667
NAK,0.21,710429405>0.15,-0.054999999999999986
PKCI,0.19,710429405>0.15,0.3491666666666666
PAKB,0.19,710429405>0.15,0.04166666666666669
DAPK,-0.11,710429405>0.15,-0.7224999999999999
NDR,-0.11,710429405>0.15,0.24000000000000002
PHK,-0.08,710429405>0.15,0.07416666666666666
ERK,-2.99,710429405>0.2,-2.675
PKA,2.97,710429405>0.2,2.66
PKG,2.81,710429405>0.2,2.7358333333333333
DMPK,2.65,710429405>0.2,2.319166666666667
RAD53,2.43,710429405>0.2,2.7975
JNK,-2.39,710429405>0.2,-2.7925
DYRK,-2.31,710429405>0.2,-2.7683333333333335
RSK,2.09,710429405>0.2,2.3233333333333333
PDK1,-2.04,710429405>0.2,-1.805
PKCD,2.03,710429405>0.2,1.305
P38,-1.99,710429405>0.2,-1.6933333333333334
NMO,-1.96,710429405>0.2,-2.1158333333333332
LKB,-1.94,710429405>0.2,-0.8358333333333333
HAL,1.94,710429405>0.2,1.1341666666666665
PKN,1.89,710429405>0.2,-0.165
PIM,1.82,710429405>0.2,2.1758333333333333
PLK,-1.72,710429405>0.2,-1.9608333333333332
CAMK1,1.67,710429405>0.2,2.3158333333333334
PAKA,1.66,710429405>0.2,1.6483333333333334
CDK,-1.61,710429405>0.2,-1.5141666666666667
PKCA,1.61,710429405>0.2,1.695
MSN,1.59,710429405>0.2,1.1066666666666667
AMPK,1.55,710429405>0.2,2.2525
TAO,1.33,710429405>0.2,0.735
RIPK,1.31,710429405>0.2,1.2566666666666666
AUR,1.29,710429405>0.2,0.64
BRSK,1.26,710429405>0.2,1.1275
MELK,1.23,710429405>0.2,0.44750000000000006
IRAK,-1.18,710429405>0.2,-0.5841666666666667
MLCK,1.15,710429405>0.2,-0.10499999999999998
BARK2,1.1,710429405>0.2,-0.3258333333333333
PAKB,-1.09,710429405>0.2,0.04166666666666669
IKK,1.08,710429405>0.2,0.8708333333333333
STE11,-1.08,710429405>0.2,-0.7541666666666667
NUAK,-1.08,710429405>0.2,-0.54
TTK,-1.08,710429405>0.2,-0.5533333333333333
TLK,-1.05,710429405>0.2,-1.1391666666666667
GRK,1.01,710429405>0.2,0.6900000000000001
MST,-0.94,710429405>0.2,-1.0958333333333334
PKD,0.92,710429405>0.2,1.7075
PEK,-0.83,710429405>0.2,-0.5616666666666666
MAPKAPK,0.82,710429405>0.2,1.0766666666666667
CLK,-0.78,710429405>0.2,-0.8041666666666667
NIK,-0.78,710429405>0.2,-0.8033333333333333
RAF,-0.77,710429405>0.2,-0.42833333333333334
ULK,-0.77,710429405>0.2,-0.79
SLK,-0.77,710429405>0.2,-0.8025
PASK,-0.76,710429405>0.2,-0.8091666666666667
MOS,-0.76,710429405>0.2,-0.8041666666666667
MARK,0.75,710429405>0.2,0.9816666666666667
BUD32,-0.75,710429405>0.2,0.04333333333333333
CAMKK,-0.74,710429405>0.2,-0.7975
KHS,-0.74,710429405>0.2,-0.1391666666666667
