Kinase,Z,method,AvgZ
PKA,3.46,710429405>0.15,2.986666666666667
PKG,3.41,710429405>0.15,2.8025
DMPK,3.41,710429405>0.15,3.1166666666666667
AMPK,3.26,710429405>0.15,2.9816666666666665
ERK,-2.9,710429405>0.15,-2.6908333333333334
PIM,2.8,710429405>0.15,2.4825
RSK,2.75,710429405>0.15,2.5666666666666664
CAMK1,2.67,710429405>0.15,2.390833333333333
RAD53,2.58,710429405>0.15,2.7733333333333334
PAKA,2.55,710429405>0.15,1.94
NMO,-2.51,710429405>0.15,-2.6166666666666667
DYRK,-2.47,710429405>0.15,-2.4141666666666666
PDHK,2.45,710429405>0.15,2.0475
JNK,-2.29,710429405>0.15,-2.4075
P38,-2.16,710429405>0.15,-1.4683333333333335
PKD,2.13,710429405>0.15,1.8
PLK,-2.04,710429405>0.15,-2.3516666666666666
MARK,1.96,710429405>0.15,1.3758333333333332
SGK,1.93,710429405>0.15,1.2641666666666667
HAL,1.59,710429405>0.15,0.9975
PAKB,1.57,710429405>0.15,0.38833333333333336
MELK,1.46,710429405>0.15,1.1099999999999999
MAPKAPK,1.4,710429405>0.15,1.0466666666666666
CDK,-1.39,710429405>0.15,-0.9291666666666667
PKCD,1.29,710429405>0.15,1.1933333333333334
NEK,1.28,710429405>0.15,0.5216666666666667
CHK1,1.27,710429405>0.15,0.9325
TLK,-1.27,710429405>0.15,-1.2966666666666666
TTK,-1.26,710429405>0.15,-1.175
NUAK,-1.25,710429405>0.15,-1.1508333333333334
PKN,-1.21,710429405>0.15,-0.20916666666666667
LKB,-1.21,710429405>0.15,-1.2816666666666667
TAO,1.16,710429405>0.15,1.1391666666666667
VRK1,-1.16,710429405>0.15,-0.1516666666666666
BRSK,1.13,710429405>0.15,1.1391666666666667
RIPK,1.13,710429405>0.15,1.02
KHS,1.11,710429405>0.15,1.1175
PDK1,-1.08,710429405>0.15,-1.0683333333333334
IKK,1.04,710429405>0.15,0.7983333333333333
MTOR,-0.99,710429405>0.15,-0.7875
STE11,-0.99,710429405>0.15,-1.2208333333333332
PKCH,0.97,710429405>0.15,0.24666666666666665
MOS,-0.92,710429405>0.15,-0.9016666666666667
WNK,-0.91,710429405>0.15,-0.07749999999999997
BUD32,-0.91,710429405>0.15,-0.75
PASK,-0.91,710429405>0.15,-0.9191666666666667
SLK,-0.91,710429405>0.15,-0.905
CAMKK,-0.9,710429405>0.15,-0.9033333333333333
ULK,-0.89,710429405>0.15,-0.8966666666666667
NIK,-0.87,710429405>0.15,-0.9
CLK,-0.85,710429405>0.15,-0.9008333333333334
PRKDC,-0.8,710429405>0.15,-0.5741666666666667
ATM,-0.79,710429405>0.15,-0.7225
AKT,0.76,710429405>0.15,0.8416666666666667
DAPK,-0.75,710429405>0.15,-0.645
IRAK,-0.71,710429405>0.15,-0.1983333333333333
CAMK2,0.71,710429405>0.15,0.365
MLCK,0.69,710429405>0.15,0.5941666666666667
NDR,0.68,710429405>0.15,0.08583333333333334
CK1,0.61,710429405>0.15,0.24583333333333338
PHK,0.57,710429405>0.15,0.4916666666666667
PEK,-0.48,710429405>0.15,-0.12416666666666669
PKCA,0.44,710429405>0.15,1.205
BARK2,-0.44,710429405>0.15,-0.41333333333333333
FRAY,-0.43,710429405>0.15,-0.07250000000000001
QIK,0.42,710429405>0.15,0.39166666666666666
CK2,-0.39,710429405>0.15,-0.31333333333333335
GRK,0.38,710429405>0.15,0.5216666666666666
RAF,-0.33,710429405>0.15,-0.43
STE7,-0.27,710429405>0.15,-0.595
GSK,0.27,710429405>0.15,-0.12000000000000004
COT,-0.21,710429405>0.15,-0.6075
MSN,0.19,710429405>0.15,0.48
NAK,0.15,710429405>0.15,0.14833333333333334
ATR,0.15,710429405>0.15,0.15666666666666665
STKR,-0.11,710429405>0.15,0.4125
AUR,0.09,710429405>0.15,0.6900000000000001
MST,-0.06,710429405>0.15,-1.0208333333333333
MLK,-0.03,710429405>0.15,0.42833333333333334
PKCI,0.02,710429405>0.15,0.45083333333333336
DMPK,3.51,710429405>0.2,3.1166666666666667
ERK,-3.47,710429405>0.2,-2.6908333333333334
PKG,3.36,710429405>0.2,2.8025
PKA,3.22,710429405>0.2,2.986666666666667
